,DNN,HGEN,ICLN,OCGN,VGT,VUZI,XLV,^NBI,price%_DNN,price%_HGEN,price%_ICLN,price%_OCGN,price%_VGT,price%_VUZI,price%_XLV,price%_^NBI,RSI_DNN,RSI_HGEN,RSI_ICLN,RSI_OCGN,RSI_VGT,RSI_VUZI,RSI_XLV,RSI_^NBI,sma_DNN,sma_HGEN,sma_ICLN,sma_OCGN,sma_VGT,sma_VUZI,sma_XLV,sma_^NBI,profit_DNN,profit_HGEN,profit_ICLN,profit_OCGN,profit_VGT,profit_VUZI,profit_XLV,profit_^NBI
2018-07-10,0.5099999904632568,3.0,8.970000267028809,149.39999389648438,187.82000732421875,7.949999809265137,86.97000122070312,3669.64990234375,0.0,0.0,-0.0033333036634657118,0.004032196454444055,0.0020273414311936405,0.01923071985414163,0.0038088854268172514,-0.0019446655758868108,50.03679257448168,46.50302302158112,44.97083946004069,45.38474833598871,58.69762680554773,65.44923045592985,69.75588441046567,69.10114718590248,1.0132792690702594,1.1425387645637208,1.007512513204364,1.044564426282875,1.0666979246456776,0.977270535053948,1.0009457938866584,1.0019832138155793,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2018-07-11,0.5,2.950000047683716,8.859999656677246,147.60000610351562,186.8300018310547,8.25,86.27999877929688,3661.530029296875,-0.01960782480441495,-0.016666650772094727,-0.012263166898209995,-0.012048111556255603,-0.00527103319432362,0.03773587395376227,-0.007933798226071492,-0.0022127105481340222,46.89337240985723,45.474864031900864,39.632839942020645,43.80843978093583,55.73235397121133,69.06760359556456,62.80621228365663,67.88609961886522,1.014798295877697,1.1451343801271923,1.0055603928109678,1.0420205016085902,1.0674317971318457,0.9815681861100884,1.0016269793004386,1.0040648074774055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-12,0.5,2.25,8.970000267028809,150.60000610351562,190.0,8.25,87.23999786376953,3718.52001953125,0.0,-0.23728814792167296,0.012415419256665738,0.0203252024115502,0.016967286505792874,0.0,0.011126554219458459,0.015564528975150536,46.89337240985723,34.105882805370804,46.47493945423445,47.10586673994254,62.2997658498169,69.06760359556455,67.63718545684836,71.65349782129906,1.015100839597364,1.1441274515081354,1.0036551938809701,1.0400102564992815,1.0681308745627978,0.9858536270291834,1.002475224512336,1.0063201873294092,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2018-07-13,0.4900000095367431,2.0999999046325684,8.920000076293945,149.39999389648438,189.75999450683597,7.599999904632568,87.4000015258789,3724.2099609375,-0.019999980926513783,-0.06666670905219184,-0.00557415710662238,-0.007968208223088755,-0.0012631868061264951,-0.07878789034756747,0.0018340631135643798,0.0015301629079214325,43.70879936008969,32.24551989483469,44.03197015888132,45.94445479536714,61.55517236621601,54.67850695097109,68.37448773191366,72.00659808742944,1.0144898152784974,1.1422222189172306,1.0017714375539566,1.0378287897123932,1.068817280158766,0.9883468476293463,1.003614227357042,1.0088019131493293,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2018-07-16,0.4900000095367431,3.0,8.880000114440918,147.60000610351562,189.1000061035156,7.949999809265137,86.87000274658203,3696.489990234375,0.0,0.42857149344723533,-0.004484300617814165,-0.012048111556255603,-0.003478016560000447,0.04605261960848532,-0.006064059153819852,-0.007443181505305629,43.70879936008969,49.90261143981815,42.12429501521994,44.1847014742059,59.45095098623814,59.56357967123031,63.23536544265232,67.58940057212108,1.0150947209233883,1.13763162436694,0.9998929484754864,1.0351527879806062,1.0694265925223296,0.992126448760796,1.004830291393887,1.0114607430840867,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018-07-17,0.4699999988079071,3.0,8.880000114440918,146.39999389648438,190.63999938964844,7.929999828338623,87.3499984741211,3722.89990234375,-0.04081634763179792,0.0,0.0,-0.008130163668080413,0.008143803471322101,-0.0025157209316162715,0.005525448513444974,0.00714459180983755,37.76068130317344,49.90261143981815,42.12429501521994,43.00217757457554,62.658585300793554,59.17109493727717,65.74637621480132,69.50856116120963,1.0150947209233883,1.1331674468157367,0.9979500103606311,1.0326069795626567,1.0697935906677052,0.9946348532503472,1.0059825931897306,1.014023406532204,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2018-07-18,0.4699999988079071,3.0999999046325684,8.899999618530273,144.0,190.52999877929688,7.949999809265137,87.41999816894531,3720.60009765625,0.0,0.03333330154418945,0.0022521963774337892,-0.01639340161572239,-0.0005770069801916681,0.00252206574520239,0.0008013703039154297,-0.0006177455069506862,37.76068130317343,51.53032382056758,43.54265277074313,40.65849670224658,62.27960990776498,59.45878405380479,66.10990149002727,69.12470701223809,1.014991895380323,1.1296194112988498,0.995937322289796,1.0294100168862166,1.0700030220787777,0.9975096778560041,1.0072041679143449,1.0165114099553105,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2018-07-19,0.4600000083446502,3.049999952316284,8.899999618530273,145.8000030517578,190.3300018310547,8.100000381469727,86.93000030517578,3725.070068359375,-0.021276575507703288,-0.016129017372408756,0.0,0.012500021192762587,-0.0010496874482944642,0.01886799695639933,-0.005605100366423891,0.0012014112201794564,34.99881431964942,50.64429510471831,43.54265277074313,43.16060035557459,61.55069580825335,61.64182391300324,61.21265432209434,69.47752128461786,1.0145867093776937,1.123212316857673,0.9942080098063022,1.0271760536986538,1.0701298741965597,1.000740431028708,1.0085331449119606,1.0192071985677142,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-07-20,0.4799999892711639,3.049999952316284,8.949999809265137,142.1999969482422,190.1999969482422,7.679999828338623,86.76000213623047,3719.93994140625,0.043478218616745966,0.0,0.005617999199770775,-0.024691399370119712,-0.0006830498689738787,-0.051851917697674894,-0.001955575386500843,-0.0013771893840870627,43.84517591031209,50.64429510471831,47.28823110936271,39.56726717640616,61.05049928807775,53.031142710436974,59.56409417931876,68.50991955806003,1.0147863067767402,1.1186533671781174,0.9924140533804506,1.0245685318100213,1.0699865570205305,1.0026709587424103,1.0097199195081397,1.021599999037544,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018-07-23,0.4600000083446502,3.0999999046325684,8.9399995803833,142.1999969482422,190.9499969482422,7.650000095367432,86.94000244140625,3718.840087890625,-0.04166662786155853,0.01639342724524056,-0.0011173440329555753,0.0,0.003943217728884046,-0.0039062153179345973,0.002074692263067778,-0.0002956643206473979,38.2404870653826,51.60927098330893,46.622019100064016,39.56726717640616,62.922493499806656,52.467370661165134,60.76887495144627,68.29033440314565,1.013873417581058,1.1151492971237136,0.9902075635235865,1.0229099541242503,1.0696552861194253,1.0046382523908968,1.0107043506719975,1.0240314341853942,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
