Date,dnn,negative,neutral,positive,signal
2011-08-22,1.399999976158142,,,,
2011-08-23,1.4299999475479126,,,,
2011-08-24,1.440000057220459,1.0,0.0,0.0,-1.0
2011-08-25,1.399999976158142,,,,
2011-08-26,1.5199999809265137,,,,
2011-08-29,1.6699999570846558,,,,
2011-08-30,1.6399999856948853,,,,
2011-08-31,1.649999976158142,,,,
2011-09-01,1.600000023841858,,,,
2011-09-02,1.5499999523162842,,,,
2011-09-06,1.4900000095367432,,,,
2011-09-07,1.5700000524520874,,,,
2011-09-08,1.5700000524520874,,,,
2011-09-09,1.4900000095367432,,,,
2011-09-12,1.4299999475479126,0.0,1.0,0.0,0.0
2011-09-13,1.4600000381469727,,,,
2011-09-14,1.4500000476837158,0.0,1.0,0.0,0.0
2011-09-15,1.4600000381469727,,,,
2011-09-16,1.4700000286102295,0.0,0.0,1.0,1.0
2011-09-19,1.4500000476837158,1.0,0.0,0.0,-1.0
2011-09-20,1.4199999570846558,,,,
2011-09-21,1.3600000143051147,,,,
2011-09-22,1.2400000095367432,0.0,0.75,0.25,0.25
2011-09-23,1.1699999570846558,0.0,1.0,0.0,0.0
2011-09-26,1.149999976158142,0.0,1.0,0.0,0.0
2011-09-27,1.2100000381469727,0.333333333,0.666666667,0.0,-0.333333333
2011-09-28,1.1200000047683716,0.0,0.666666667,0.333333333,0.333333333
2011-09-29,1.0800000429153442,,,,
2011-09-30,1.059999942779541,0.0,0.0,1.0,1.0
2011-10-03,0.9399999976158142,0.0,1.0,0.0,0.0
2011-10-04,0.9399999976158142,0.5,0.0,0.5,0.0
2011-10-05,1.059999942779541,,,,
2011-10-06,1.1200000047683716,,,,
2011-10-07,1.1100000143051147,0.0,1.0,0.0,0.0
2011-10-10,1.1399999856948853,0.0,0.25,0.75,0.75
2011-10-11,1.1799999475479126,,,,
2011-10-12,1.2400000095367432,0.0,1.0,0.0,0.0
2011-10-13,1.190000057220459,,,,
2011-10-14,1.2400000095367432,0.0,1.0,0.0,0.0
2011-10-17,1.1699999570846558,,,,
2011-10-18,1.2200000286102295,0.0,1.0,0.0,0.0
2011-10-19,1.2000000476837158,,,,
2011-10-20,1.3200000524520874,0.0,1.0,0.0,0.0
2011-10-21,1.3799999952316284,0.0,0.0,1.0,1.0
2011-10-24,1.4500000476837158,,,,
2011-10-25,1.4700000286102295,0.0,0.333333333,0.666666667,0.666666667
2011-10-26,1.5700000524520874,0.0,0.958333333,0.041666667,0.041666667
2011-10-27,1.649999976158142,0.0,1.0,0.0,0.0
2011-10-28,1.6299999952316284,0.0,1.0,0.0,0.0
2011-10-31,1.5800000429153442,,,,
2011-11-01,1.409999966621399,0.0,1.0,0.0,0.0
2011-11-02,1.5299999713897705,,,,
2011-11-03,1.5399999618530273,0.0,1.0,0.0,0.0
2011-11-04,1.5199999809265137,0.0,0.923076923,0.076923077,0.076923077
2011-11-07,1.4900000095367432,,,,
2011-11-08,1.4900000095367432,0.0,1.0,0.0,0.0
2011-11-09,1.409999966621399,0.0,0.9375,0.0625,0.0625
2011-11-10,1.4299999475479126,0.0,1.0,0.0,0.0
2011-11-11,1.4700000286102295,0.0,1.0,0.0,0.0
2011-11-14,1.440000057220459,,,,
2011-11-15,1.5,0.4,0.2,0.4,0.0
2011-11-16,1.4500000476837158,0.0,1.0,0.0,0.0
2011-11-17,1.4500000476837158,,,,
2011-11-18,1.5099999904632568,,,,
2011-11-21,1.409999966621399,1.0,0.0,0.0,-1.0
2011-11-22,1.340000033378601,0.0,1.0,0.0,0.0
2011-11-23,1.2200000286102295,,,,
2011-11-25,1.2200000286102295,0.0,1.0,0.0,0.0
2011-11-28,1.2599999904632568,0.0,0.5,0.5,0.5
2011-11-29,1.3200000524520874,0.0,0.8,0.2,0.2
2011-11-30,1.4299999475479126,0.0,1.0,0.0,0.0
2011-12-01,1.4500000476837158,0.0,1.0,0.0,0.0
2011-12-02,1.4299999475479126,,,,
2011-12-05,1.4700000286102295,0.0,1.0,0.0,0.0
2011-12-06,1.4700000286102295,,,,
2011-12-07,1.4800000190734863,,,,
2011-12-08,1.399999976158142,,,,
2011-12-09,1.4299999475479126,0.0,0.0,1.0,1.0
2011-12-12,1.409999966621399,,,,
2011-12-13,1.3799999952316284,0.0,0.0,1.0,1.0
2011-12-14,1.3300000429153442,,,,
2011-12-15,1.2999999523162842,,,,
2011-12-16,1.340000033378601,0.0,0.2,0.8,0.8
2011-12-19,1.2799999713897705,,,,
2011-12-20,1.3200000524520874,,,,
2011-12-21,1.3200000524520874,,,,
2011-12-22,1.2599999904632568,,,,
2011-12-23,1.2999999523162842,,,,
2011-12-27,1.2699999809265137,0.0,0.0,1.0,1.0
2011-12-28,1.2200000286102295,0.0,1.0,0.0,0.0
2011-12-29,1.2400000095367432,,,,
2011-12-30,1.25,0.0,0.0,1.0,1.0
2012-01-03,1.3700000047683716,0.0,1.0,0.0,0.0
2012-01-04,1.4600000381469727,,,,
2012-01-05,1.409999966621399,0.0,0.0,1.0,1.0
2012-01-06,1.3700000047683716,0.0,1.0,0.0,0.0
2012-01-09,1.3700000047683716,0.0,0.333333333,0.666666667,0.666666667
2012-01-10,1.4299999475479126,0.0,0.5,0.5,0.5
2012-01-11,1.4800000190734863,0.0,0.5,0.5,0.5
2012-01-12,1.5800000429153442,0.0,1.0,0.0,0.0
2012-01-13,1.5700000524520874,0.5,0.5,0.0,-0.5
2012-01-17,1.7100000381469727,0.0,0.9,0.1,0.1
2012-01-18,1.8200000524520874,0.125,0.875,0.0,-0.125
2012-01-19,1.8700000047683716,0.0,1.0,0.0,0.0
2012-01-20,1.9199999570846558,,,,
2012-01-23,2.0,0.0,1.0,0.0,0.0
2012-01-24,1.8799999952316284,0.0,1.0,0.0,0.0
2012-01-25,1.8600000143051147,,,,
2012-01-26,1.809999942779541,0.0,1.0,0.0,0.0
2012-01-27,1.8300000429153442,,,,
