Date,RSI_DNN,RSI_HGEN,RSI_ICLN,RSI_OCGN,RSI_VGT,RSI_VUZI,RSI_XLV,RSI_^NBI
2015-05-27,44.62420654726384,50.66765274710715,44.7803215878609,48.235060370206796,59.925396521242035,47.82977781829607,59.662640536956125,63.20249782801562
2015-05-28,44.624206547263846,52.436460207235314,37.30728880621946,49.43017101164729,59.56422987287217,49.597675159405895,59.9874995808988,60.84552053565502
2015-05-29,43.0352079657502,65.68605196875332,41.385045813269535,50.31258860546468,54.98467663281325,51.85659084416883,58.07341533631587,60.81911095928019
2015-06-01,41.44586052492448,58.64837844653976,37.058640465473204,52.964242019627235,56.52732226634139,52.86763403318194,60.231163438809396,60.484632953390616
2015-06-02,47.68760962251019,53.9773388850374,38.103889124856266,47.503962181870804,54.93011399606157,51.414143394284565,55.23127231800079,58.05634430272569
2015-06-03,45.9300472320368,56.46661864212151,39.1914329288267,49.73616263445139,56.993700294977124,49.367801124190585,56.34627833000076,60.004316556698576
2015-06-04,44.176650952971066,56.46661864212151,35.39616680082131,44.32369203709024,50.657632495688866,56.77821267495868,51.24143068465522,56.349899857087934
2015-06-05,48.417939758411194,54.74941473420899,33.938766484902246,44.00139334205208,50.42547590398981,57.72998665597192,50.95455172479354,61.19748904850536
2015-06-08,43.12511260632856,54.74941473420899,32.301825653418675,44.21979574197981,43.08765359331183,52.72826770986342,47.4285391653431,57.367355649370836
2015-06-09,45.27268642959908,51.14193008332325,29.43512166123422,43.31025697291898,42.17764536609772,53.541041703634974,47.23820982068353,53.3788685640016
2015-06-10,43.50364547863081,51.14193008332325,36.695483251187646,30.013710588614067,51.666747532408245,55.20010666786431,55.90670347024852,57.689592944355596
2015-06-11,47.889381868967675,49.25976915230804,37.08275810005941,38.36822844478689,51.77067697718331,57.38524975357146,59.88456080150769,60.490933916789345
2015-06-12,45.967920556236265,52.986411548717385,36.13054351548115,37.08900214944854,47.43143349452006,55.561191784748885,50.871946807392895,53.60627300248613
2015-06-15,44.06394876281905,49.102630621254164,32.9421896757459,34.18759118865313,44.3883988930479,66.20434134537211,51.63058235828949,53.46357782900324
2015-06-16,42.18237452219979,49.102630621254164,35.56646793604731,34.4001516660805,48.42679062069789,62.03063728085723,54.72598694255332,54.52301814377948
2015-06-17,37.06850319833877,49.102630621254164,37.75266952418648,28.62538796103929,49.358613610368465,59.34459783007474,55.30868765978547,57.35753909531608
2015-06-18,39.69303245394726,51.33040891518535,42.77130830770286,33.3999414787486,54.45451090990518,52.87247575475965,63.061646757419275,67.87056118321233
2015-06-19,37.98694079365862,46.9081923411428,38.583725808853146,29.681263192749746,49.76502663823767,67.56579816388101,59.69489599271473,68.02941949100638
2015-06-22,37.986940793658626,51.41578969566524,44.086147692189,37.377555832600976,53.6845645569462,61.452234393579765,63.558012176169385,72.25545692907929
2015-06-23,40.931455431636905,49.16800416939575,47.35164586219481,41.57648837018496,54.00222193879852,65.51288258548176,64.48983585466543,72.3666413618451
2015-06-24,40.931455431636905,46.95722449842534,39.60246338697838,41.10162200959471,50.230157405847876,58.83806750400233,56.50254303762801,62.43076809120511
2015-06-25,38.79508463957058,42.811164014704964,36.82129213546999,38.38669282321748,48.611628596316436,59.602303579380035,59.45249990919,60.16261655654635
2015-06-26,36.7305194100429,35.97055836268926,34.23232459591581,43.93543479163731,42.783058388899406,60.54887849338175,58.33659986804876,55.4130505879037
